GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2Mutatie,3,6,0,0,1,3,1,1,1,1
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2LoaderUtils.BAGExtractSelectieFromLeveringsdocument,15,54,0,4,6,20,1,7,1,5
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2MutatieGroep,30,9,6,0,4,4,5,2,2,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2LoaderUtils.BAGExtractSelectieFromFilename,170,0,16,0,40,0,16,0,8,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2ToevoegingMutatie,6,10,0,0,2,4,1,2,1,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2Database,189,212,20,15,42,56,21,14,6,11
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2LoaderUtils,167,120,5,5,33,24,8,8,4,7
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2GMLMutatieGroepStream,20,501,4,44,6,133,4,40,0,15
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2ProgressReporter,4,127,0,7,2,32,1,12,1,7
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2GMLMutatieGroepStream.new Iterator() {...},38,190,7,15,10,49,6,9,0,3
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2GMLMutatieGroepStream.BagInfo,76,41,12,0,11,15,12,6,6,6
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2WijzigingMutatie,8,16,0,0,2,6,1,3,1,3
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2Database.SQLDialectEnum,0,15,0,0,0,3,0,1,0,1
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2SchemaMapper.Metadata,0,50,0,0,0,9,0,2,0,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2ObjectTableWriter,97,285,18,14,25,77,16,18,4,14
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2Object,0,9,0,0,0,3,0,2,0,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2ObjectTableWriter.BAG2Progress,6,24,0,0,2,6,2,3,2,3
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2ObjectType,0,12,0,0,0,4,0,2,0,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2SchemaMapper,94,12,2,2,19,5,6,3,5,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2Schema,0,578,0,4,0,55,0,10,0,8
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.util,Force2DCoordinateSequenceFactory,11,32,1,3,2,5,3,3,2,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader.cli,BAG2LoaderMain,551,863,71,86,120,219,60,47,11,14
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader.cli,BAG2LoadOptions,19,33,0,0,9,12,5,8,5,8
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader.cli,BAG2ProgressOptions,28,0,4,0,10,0,8,0,6,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader.cli,BAG2MutatiesCommand,607,0,38,0,127,0,32,0,13,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader.cli,BAG2ConsoleProgressReporter,44,0,5,0,13,0,6,0,3,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader.cli,BAG2DatabaseOptions,8,42,0,0,4,16,2,9,2,9
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,GebiedRegistratief,8,9,0,0,4,3,2,3,2,3
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,GebiedNLD,0,3,0,0,0,1,0,1,0,1
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,Mutatieperiode,11,6,0,0,5,2,3,2,3,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,MUTExtract,11,6,0,0,5,2,3,2,3,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,APDExtract,17,0,0,0,7,0,5,0,5,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,GemeenteCollectie,5,9,1,1,1,3,1,2,0,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,Gemeente,11,6,0,0,5,2,3,2,3,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,SelectieGegevens,19,12,0,0,9,4,5,4,5,4
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,SchemaInfo,14,3,0,0,6,1,4,1,4,1
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,LVCExtract,7,3,0,0,3,1,2,1,2,1
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,ObjectFactory,290,0,0,0,48,0,31,0,31,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,BAGExtractLevering,11,6,0,0,5,2,3,2,3,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,GebiedGEM,4,6,0,0,2,2,1,2,1,2
